"Earthquake phase","Event",00:00:00.067,0.067,00:00:33.333,33.333,00:00:33.266,33.266,"During"
"Environmental cue","Environment",00:00:00.067,0.067,00:00:33.333,33.333,00:00:33.266,33.266,"Shaking"
"2_Participants","balck wearing people",00:00:00.100,0.1,00:00:00.900,0.9,00:00:00.800,0.8,"standing"
"2_Participants","balck wearing people",00:00:00.900,0.9,00:00:05.767,5.767,00:00:04.867,4.867,"walking (id: 6703)"
"2_Participants","balck wearing people",00:00:05.767,5.767,00:00:13.267,13.267,00:00:07.500,7.5,"standing"
"2_Participants","balck wearing people",00:00:13.267,13.267,00:00:33.333,33.333,00:00:20.066,20.066,"held each other - standing (id: 6705)"
"P_1","hightvis wearing man",00:00:00.000,0.0,00:00:08.400,8.4,00:00:08.400,8.4,"standing"
"P_1","hightvis wearing man",00:00:08.400,8.4,00:00:21.733,21.733,00:00:13.333,13.333,"running"
"P_1","hightvis wearing man",00:00:21.733,21.733,00:00:33.333,33.333,00:00:11.600,11.6,"standing"
"P_2","man with P_1",00:00:00.000,0.0,00:00:23.867,23.867,00:00:23.867,23.867,"running"
"P_2","man with P_1",00:00:23.867,23.867,00:00:33.333,33.333,00:00:09.466,9.466,"standing"
"P_3","girl wearing bag and appear at the end",00:00:24.800,24.8,00:00:33.333,33.333,00:00:08.533,8.533,"walking (id: 6710)"
