"Earthquake phase","Event",00:00:00.020,0.02,00:00:08.214,8.214,00:00:08.194,8.194,"During"
"Environmental Cue","Environment",00:00:00.020,0.02,00:00:08.214,8.214,00:00:08.194,8.194,"shaking"
"P_1","pink top wearing girl",00:00:00.020,0.02,00:00:08.214,8.214,00:00:08.194,8.194,"standing (id: 8226)"
"P_2","girl near camera",00:00:00.020,0.02,00:00:08.214,8.214,00:00:08.194,8.194,"standing (id: 8261)"
"P_3","boy standing near P_1",00:00:00.030,0.03,00:00:02.670,2.67,00:00:02.640,2.64,"standing (id: 8230)"
"P_3","boy standing near P_1",00:00:02.670,2.67,00:00:07.390,7.39,00:00:04.720,4.72,"evacuating (id: 8230)"
"P_4","person drop near door",00:00:00.030,0.03,00:00:01.070,1.07,00:00:01.040,1.04,"Drop (id: 8251)"
"P_4","person drop near door",00:00:01.070,1.07,00:00:03.580,3.58,00:00:02.510,2.51,"standing (id: 8251)"
"P_4","person drop near door",00:00:03.580,3.58,00:00:08.214,8.214,00:00:04.634,4.634,"walking (id: 8251)"
"P_5","person drop middle",00:00:00.010,0.01,00:00:08.214,8.214,00:00:08.204,8.204,"Drop (id: 8223, 8265)"
"P_6","checked shirt wearing boy",00:00:00.030,0.03,00:00:00.410,0.41,00:00:00.380,0.38,"Drop (id: 8250)"
"P_6","checked shirt wearing boy",00:00:00.410,0.41,00:00:02.290,2.29,00:00:01.880,1.88,"standing (id: 8250)"
"P_6","checked shirt wearing boy",00:00:02.290,2.29,00:00:04.900,4.9,00:00:02.610,2.61,"walking (id: 8250)"
"P_6","checked shirt wearing boy",00:00:04.900,4.9,00:00:08.214,8.214,00:00:03.314,3.314,"standing (id: 8250, 8279, 8280)"
"P_7","black hoodie wearing man",00:00:00.010,0.01,00:00:01.310,1.31,00:00:01.300,1.3,"standing (id: 8256)"
"P_7","black hoodie wearing man",00:00:01.310,1.31,00:00:03.380,3.38,00:00:02.070,2.07,"walking(id: 8256)"
"P_7","black hoodie wearing man",00:00:03.380,3.38,00:00:08.214,8.214,00:00:04.834,4.834,"standing (id: 8256)"
"P_8","hoodie wearing girl",00:00:00.030,0.03,00:00:06.630,6.63,00:00:06.600,6.6,"walking (id: 8246, 8270)"
"P_8","hoodie wearing girl",00:00:06.630,6.63,00:00:08.214,8.214,00:00:01.584,1.584,"standing (id: 8270)"
