"Earthquake phase","Event",00:00:00.050,0.05,00:00:12.700,12.7,00:00:12.650,12.65,"Immediately after"
"P_1","lady sitting on bed",00:00:00.050,0.05,00:00:03.717,3.717,00:00:03.667,3.667,"sitting - carrying a child (id: 3799), (id: 3848)"
"P_1","lady sitting on bed",00:00:03.717,3.717,00:00:04.550,4.55,00:00:00.833,0.833,"standing (id: 3848)"
"P_1","lady sitting on bed",00:00:04.550,4.55,00:00:07.551,7.551,00:00:03.001,3.001,"carried children outside of the room (id: 3848)"
"P_1","lady sitting on bed",00:00:07.552,7.552,00:00:12.700,12.7,00:00:05.148,5.148,"walking (id: 3848), (id: 3895), (id: 3901)"
"P_2","person who walking here and there",00:00:00.034,0.034,00:00:00.690,0.69,00:00:00.656,0.656,"walking (id: 3838)"
"P_2","person who walking here and there",00:00:00.690,0.69,00:00:02.259,2.259,00:00:01.569,1.569,"standing (id: 3838)"
"P_2","person who walking here and there",00:00:02.259,2.259,00:00:06.448,6.448,00:00:04.189,4.189,"walking (id: 3838), (id: 3852), "
"C_1","child",00:00:00.017,0.017,00:00:09.500,9.5,00:00:09.483,9.483,"sitting (id: 3820), (id: 3877), (id: 3881)"
"C_1","child",00:00:09.500,9.5,00:00:10.517,10.517,00:00:01.017,1.017,"standing (id: 3881)"
"C_1","child",00:00:10.517,10.517,00:00:12.700,12.7,00:00:02.183,2.183,"walking (id: 3881), (id: 3895)"
