"Earthquake phase","Event",00:00:00.000,0.0,00:00:16.666,16.666,00:00:16.666,16.666,"During"
"Environmental cue","Environment",00:00:00.000,0.0,00:00:16.666,16.666,00:00:16.666,16.666,"Shaking"
"P_1","1st girl went out_upper video",00:00:00.000,0.0,00:00:11.660,11.66,00:00:11.660,11.66,"Evacuating (id: 181, 192)"
"3_Participants","People evacuate after P_1",00:00:03.900,3.9,00:00:16.666,16.666,00:00:12.766,12.766,"evacuating (id: 185, 210)"
"P_2","Man in the upper video",00:00:00.060,0.06,00:00:05.939,5.939,00:00:05.879,5.879,"sitting (id: 177)"
"P_2","Man in the upper video",00:00:05.939,5.939,00:00:10.061,10.061,00:00:04.122,4.122,"standing (id: 206, 177)"
"P_2","Man in the upper video",00:00:10.061,10.061,00:00:12.080,12.08,00:00:02.019,2.019,"walking (id: 206, 177, 241)"
"P_2","Man in the upper video",00:00:12.080,12.08,00:00:16.666,16.666,00:00:04.586,4.586,"hold onto a structure (id: 206)"
"P_3","lady appeared at the end of the video_Upper video",00:00:00.040,0.04,00:00:08.429,8.429,00:00:08.389,8.389,"sitting"
"P_3","lady appeared at the end of the video_Upper video",00:00:08.429,8.429,00:00:12.592,12.592,00:00:04.163,4.163,"standing (id: 232)"
"P_3","lady appeared at the end of the video_Upper video",00:00:12.592,12.592,00:00:16.666,16.666,00:00:04.074,4.074,"walking (id: 232, 227)"
"P_4","white shirt wearing boy",00:00:00.061,0.061,00:00:06.286,6.286,00:00:06.225,6.225,"sitting (id: 178)"
"P_4","white shirt wearing boy",00:00:06.286,6.286,00:00:07.184,7.184,00:00:00.898,0.898,"standing (id: 178)"
"P_4","white shirt wearing boy",00:00:07.184,7.184,00:00:12.633,12.633,00:00:05.449,5.449,"walking (id: 178)"
"P_4","white shirt wearing boy",00:00:12.633,12.633,00:00:16.666,16.666,00:00:04.033,4.033,"sitting (id: 178)"
"P_5","beige blouse wearing lady",00:00:00.000,0.0,00:00:00.408,0.408,00:00:00.408,0.408,"sitting"
"P_5","beige blouse wearing lady",00:00:00.408,0.408,00:00:07.449,7.449,00:00:07.041,7.041,"standing"
"P_5","beige blouse wearing lady",00:00:07.449,7.449,00:00:16.666,16.666,00:00:09.217,9.217,"walking (id: 220)"
"5_Partipants","sitting people",00:00:00.020,0.02,00:00:16.666,16.666,00:00:16.646,16.646,"sitting (id: 179)"
