"Earthquake Phase","Event",00:00:00.017,0.017,00:00:04.166,4.166,00:00:04.149,4.149,"During"
"Environmental Cue","Environment",00:00:00.017,0.017,00:00:04.166,4.166,00:00:04.149,4.149,"Shaking"
"P_1","Man sitting",00:00:00.000,0.0,00:00:00.138,0.138,00:00:00.138,0.138,"Sitting (id: 13860)"
"P_1","Man sitting",00:00:00.138,0.138,00:00:01.294,1.294,00:00:01.156,1.156,"Standing (id: 13860), (id: 13874)"
"P_1","Man sitting",00:00:01.294,1.294,00:00:01.844,1.844,00:00:00.550,0.55,"Evacuate (id: 13874), (id: 13879)"
"P_2","Person lied on couch",00:00:00.000,0.0,00:00:00.425,0.425,00:00:00.425,0.425,"Lying down"
"P_2","Person lied on couch",00:00:00.425,0.425,00:00:01.050,1.05,00:00:00.625,0.625,"Standing (id: 13865)"
"P_2","Person lied on couch",00:00:01.050,1.05,00:00:01.206,1.206,00:00:00.156,0.156,"Held each other (id: 13865)"
"P_2","Person lied on couch",00:00:01.206,1.206,00:00:02.869,2.869,00:00:01.663,1.663,"Evacuate (id: 13865), (id: 13875)"
"C_1","Child",00:00:00.956,0.956,00:00:01.181,1.181,00:00:00.225,0.225,"Held each other (id: 13872)"
"C_1","Child",00:00:01.181,1.181,00:00:01.844,1.844,00:00:00.663,0.663,"Evacuate (id: 13873), (id: 13876)"
