"Earthquake phase","Event",00:00:00.013,0.013,00:00:10.000,10.0,00:00:09.987,9.987,"During"
"Environmental cue","Environment",00:00:00.013,0.013,00:00:10.000,10.0,00:00:09.987,9.987,"Shaking"
"P_1","yellow color wearing man",00:00:00.025,0.025,00:00:06.138,6.138,00:00:06.113,6.113,"sitting (id: 20782)"
"P_2","person near P_1",00:00:00.025,0.025,00:00:04.038,4.038,00:00:04.013,4.013,"walking"
"P_2","person near P_1",00:00:04.038,4.038,00:00:10.000,10.0,00:00:05.962,5.962,"hold onto a structure"
"P_3","white shirt wearing one",00:00:00.013,0.013,00:00:06.100,6.1,00:00:06.087,6.087,"sitting (id: "
"P_3","white shirt wearing one",00:00:06.100,6.1,00:00:08.375,8.375,00:00:02.275,2.275,"standing (id: 20784)"
"P_3","white shirt wearing one",00:00:08.375,8.375,00:00:10.000,10.0,00:00:01.625,1.625,"walking (id: 20784)"
"P_4","person standing near P_3",00:00:00.025,0.025,00:00:05.438,5.438,00:00:05.413,5.413,"sitting "
"P_4","person standing near P_3",00:00:05.438,5.438,00:00:07.000,7.0,00:00:01.562,1.562,"standing"
"P_4","person standing near P_3",00:00:07.000,7.0,00:00:10.000,10.0,00:00:03.000,3.0,"walking "
"2_Participants","Sitting people",00:00:00.013,0.013,00:00:10.000,10.0,00:00:09.987,9.987,"sitting"
"4_Participants","people standing to go",00:00:00.025,0.025,00:00:02.888,2.888,00:00:02.863,2.863,"sitting"
"4_Participants","people standing to go",00:00:02.888,2.888,00:00:07.088,7.088,00:00:04.200,4.2,"standing"
"4_Participants","people standing to go",00:00:07.088,7.088,00:00:10.000,10.0,00:00:02.912,2.912,"walking"
