"Earthquake Phase","Event",00:00:00.032,0.032,00:00:17.081,17.081,00:00:17.049,17.049,"During"
"Environmental Cue_1","Environmental Cue_2",00:00:00.032,0.032,00:00:17.081,17.081,00:00:17.049,17.049,"Shaking"
"Environmental Cue_2","Environment",00:00:00.032,0.032,00:00:17.081,17.081,00:00:17.049,17.049,"Moving Objects"
"P_1","Girl who walk",00:00:00.000,0.0,00:00:02.355,2.355,00:00:02.355,2.355,"Walking (id: 22448)"
"P_1","Girl who walk",00:00:02.355,2.355,00:00:03.532,3.532,00:00:01.177,1.177,"Hold onto a structure"
"P_1","Girl who walk",00:00:03.532,3.532,00:00:06.935,6.935,00:00:03.403,3.403,"Running (id: 22452), (id: 22457), (id: 22458)"
"P_1","Girl who walk",00:00:06.935,6.935,00:00:07.839,7.839,00:00:00.904,0.904,"Hold on to a structure (id: 22458)"
"P_1","Girl who walk",00:00:07.839,7.839,00:00:10.403,10.403,00:00:02.564,2.564,"Running (id: 22458)"
"P_2","left side one who held each other",00:00:03.919,3.919,00:00:05.419,5.419,00:00:01.500,1.5,"Sitting"
"P_2","left side one who held each other",00:00:05.419,5.419,00:00:17.145,17.145,00:00:11.726,11.726,"Held each other"
"P_3","right side one who held each other",00:00:00.984,0.984,00:00:05.403,5.403,00:00:04.419,4.419,"Sitting"
"P_3","right side one who held each other",00:00:05.403,5.403,00:00:17.081,17.081,00:00:11.678,11.678,"Held each other"
